ts,team,st,f,tag,margin,sid,name,pos,proj,actual,rem_fit,live_fit,live_v1,live_naive,stale,xmult,live_fitx,role,f_in,frozen
2026-09-13 16:08:57Z,JAX,pre,0.0,PRE,0,9487,Parker Washington,WR,13.9,0.0,13.9,13.9,13.9,13.9,0.0,1.0,13.9,,0.0,0
2026-09-13 16:08:57Z,TB,pre,0.0,PRE,0,11584,Bucky Irving,RB,13.4,0.0,13.4,13.4,13.4,13.4,0.0,1.0,13.4,,0.0,0
2026-09-13 16:08:57Z,CLE,pre,0.0,PRE,0,6783,Jerry Jeudy,WR,7.8,0.0,7.8,7.8,7.8,7.8,0.0,1.0,7.8,,0.0,0
2026-09-13 16:08:57Z,HOU,pre,0.0,PRE,0,9504,Kayshon Boutte,WR,8.1,0.0,8.1,8.1,8.1,8.1,0.0,1.0,8.1,,0.0,0
2026-09-13 16:08:57Z,BAL,pre,0.0,PRE,0,11629,Devontez Walker,WR,2.6,0.0,2.6,2.6,2.6,2.6,0.0,1.0,2.6,,0.0,0
2026-09-13 16:08:57Z,ATL,pre,0.0,PRE,0,7553,Kyle Pitts,TE,10.5,0.0,10.5,10.5,10.5,10.5,0.0,1.0,10.5,,0.0,0
2026-09-13 16:08:57Z,CIN,pre,0.0,PRE,0,19,Joe Flacco,QB,0.7,0.0,0.7,0.7,0.7,0.7,0.0,1.0,0.7,,0.0,0
2026-09-13 16:08:57Z,IND,pre,0.0,PRE,0,4054,Mo Alie-Cox,TE,1.6,0.0,1.6,1.6,1.6,1.6,0.0,1.0,1.6,,0.0,0
2026-09-13 16:08:57Z,HOU,pre,0.0,PRE,0,7585,Davis Mills,QB,0.5,0.0,0.5,0.5,0.5,0.5,0.0,1.0,0.5,,0.0,0
2026-09-13 16:08:57Z,HOU,pre,0.0,PRE,0,HOU,Houston Texans D/ST,DST,6.2,0.0,6.2,6.2,6.2,6.2,0.0,1.0,6.2,,0.0,0
2026-09-13 16:08:57Z,BUF,pre,0.0,PRE,0,8134,Khalil Shakir,WR,10.0,0.0,10.0,10.0,10.0,10.0,0.0,1.0,10.0,,0.0,0
2026-09-13 16:08:57Z,BAL,pre,0.0,PRE,0,5995,Justice Hill,RB,6.7,0.0,6.7,6.7,6.7,6.7,0.0,1.0,6.7,,0.0,0
2026-09-13 16:08:57Z,CHI,pre,0.0,PRE,0,12517,Colston Loveland,TE,14.9,0.0,14.9,14.9,14.9,14.9,0.0,1.0,14.9,,0.0,0
2026-09-13 16:08:57Z,BUF,pre,0.0,PRE,0,8138,James Cook,RB,16.6,0.0,16.6,16.6,16.6,16.6,0.0,1.0,16.6,,0.0,0
2026-09-13 16:08:57Z,ATL,pre,0.0,PRE,0,8119,Jahan Dotson,WR,4.7,0.0,4.7,4.7,4.7,4.7,0.0,1.0,4.7,,0.0,0
2026-09-13 16:08:57Z,TB,pre,0.0,PRE,0,8111,Cade Otton,TE,8.7,0.0,8.7,8.7,8.7,8.7,0.0,1.0,8.7,,0.0,0
2026-09-13 16:08:57Z,TB,pre,0.0,PRE,0,8484,Ko Kieft,TE,0.5,0.0,0.5,0.5,0.5,0.5,0.0,1.0,0.5,,0.0,0
2026-09-13 16:08:57Z,NYJ,pre,0.0,PRE,0,11571,Isaiah Davis,RB,2.7,0.0,2.7,2.7,2.7,2.7,0.0,1.0,2.7,,0.0,0
2026-09-13 16:08:57Z,CHI,pre,0.0,PRE,0,13079,Jahdae Walker,WR,0.5,0.0,0.5,0.5,0.5,0.5,0.0,1.0,0.5,,0.0,0
2026-09-13 16:08:57Z,BAL,pre,0.0,PRE,0,BAL,Baltimore Ravens D/ST,DST,6.4,0.0,6.4,6.4,6.4,6.4,0.0,1.0,6.4,,0.0,0
2026-09-13 16:08:57Z,IND,pre,0.0,PRE,0,5870,Daniel Jones,QB,17.7,0.0,17.7,17.7,17.7,17.7,0.0,1.0,17.7,,0.0,0
